Paket_id,Vikt,Förtjänst,Deadline
2241323956,0.9,4,0
2241323957,3.8,4,7
2241323961,1.5,4,3
2241323966,4.3,1,-3
2241323969,1.9,4,2
2241323974,1.8,6,8
2241323976,1.8,9,-1
2241323977,7.9,1,0
2241323979,2.4,5,1
2241323981,9.8,6,5
2241323986,10.8,9,4
2241323991,0.1,7,-3
2241323993,1.8,2,-1
2241323997,2.9,6,2
2241324002,4.5,1,3
2241324008,1.9,4,8
2241324011,6.0,5,6
2241324012,2.2,5,5
2241324015,0.3,6,8
2241324017,9.5,3,3
2241324020,4.1,8,5
2241324026,0.6,3,8
2241324030,5.7,9,8
2241324033,2.9,2,0
2241324037,1.3,4,7
2241324039,6.5,4,-1
2241324040,11.0,8,3
2241324046,7.5,7,6
2241324050,11.1,1,9
2241324055,1.6,6,1
2241324056,7.6,1,5
2241324062,3.9,1,6
2241324065,10.5,2,6
2241324070,2.0,6,7
2241324071,3.8,2,1
2241324073,1.7,3,4
2241324077,9.1,4,6
2241324083,11.4,9,2
2241324085,9.1,9,1
2241324088,10.5,4,6
2241324094,2.4,1,6
2241324095,11.1,7,4
2241324098,4.1,7,1
2241324103,8.8,4,2
2241324104,0.5,5,8
2241324105,2.7,9,5
2241324108,1.6,6,7
2241324111,2.1,6,4
2241324115,9.7,7,-3
2241324119,4.2,2,5
2241324121,1.3,8,1
2241324126,3.5,7,2
2241324132,5.5,2,2
2241324138,8.6,1,1
2241324141,11.4,1,1
2241324144,2.9,6,1
2241324148,10.8,1,2
2241324153,0.4,8,4
2241324157,0.4,5,9
2241324160,6.5,3,4
2241324165,1.7,3,3
2241324166,10.8,8,4
2241324168,1.6,5,5
2241324174,0.8,4,4
2241324180,9.1,5,6
2241324184,6.0,4,8
2241324189,1.7,3,2
2241324190,4.7,8,3
2241324194,0.3,4,-2
2241324197,1.6,6,6
2241324201,1.1,8,8
2241324202,1.3,6,8
2241324204,9.6,2,-2
2241324206,4.6,7,1
2241324211,6.6,4,2
2241324213,3.4,7,5
2241324215,1.7,3,6
2241324219,1.4,1,5
2241324225,6.1,4,8
2241324229,1.0,5,3
2241324235,3.0,3,0
2241324241,11.8,7,5
2241324246,0.1,3,7
2241324249,0.3,4,0
2241324253,6.2,9,7
2241324257,4.7,3,-1
2241324262,2.8,4,0
2241324263,8.2,6,5
2241324265,9.9,6,9
2241324271,2.6,3,8
2241324273,1.1,5,1
2241324277,9.6,9,-5
2241324283,5.5,2,1
2241324286,2.6,7,1
2241324288,0.1,1,2
2241324294,7.1,1,2
2241324297,8.8,2,2
2241324299,0.6,7,6
2241324300,5.0,7,6
2241324305,0.2,5,9
2241324308,2.4,5,6
2241324310,1.8,5,2
2241324315,7.1,3,-3
2241324321,6.4,1,-1
2241324323,10.6,7,3
2241324327,9.6,3,3
2241324332,9.8,2,3
2241324338,12.0,5,-1
2241324341,6.5,5,7
2241324344,5.4,1,1
2241324346,0.4,4,7
2241324352,1.4,3,8
2241324358,10.7,6,0
2241324362,5.8,7,9
2241324366,9.7,4,1
2241324369,10.7,7,3
2241324374,4.4,9,6
2241324379,7.1,7,3
2241324382,6.9,4,4
2241324385,10.0,5,4
2241324389,0.7,3,7
2241324390,10.5,3,4
2241324394,2.4,2,1
2241324400,3.2,4,0
2241324405,5.2,9,5
2241324410,7.2,1,7
2241324411,6.7,7,0
2241324412,7.5,9,2
2241324415,7.1,4,4
2241324421,11.3,4,9
2241324422,8.3,9,0
2241324426,3.1,5,4
2241324429,3.5,1,1
2241324434,6.3,6,4
2241324440,0.4,5,9
2241324442,10.7,8,7
2241324446,7.3,9,5
2241324447,6.0,8,6
2241324449,7.8,1,-3
2241324455,8.9,1,7
2241324460,6.6,3,7
2241324466,10.1,6,2
2241324472,10.7,2,4
2241324473,7.3,3,2
2241324476,1.3,4,0
2241324477,1.1,4,5
2241324479,1.7,5,5
2241324485,5.9,1,5
2241324489,9.4,4,7
2241324492,10.5,5,3
2241324495,5.6,5,7
2241324501,3.0,2,9
2241324506,2.5,4,1
2241324507,4.8,4,-1
2241324513,11.2,7,5
2241324515,8.7,7,3
2241324516,3.5,1,8
2241324522,9.2,6,7
2241324528,1.4,3,4
2241324529,0.8,9,6
2241324533,3.9,9,0
2241324534,6.7,8,2
2241324536,6.4,4,6
2241324538,2.1,9,3
2241324541,7.0,9,-1
2241324546,0.7,4,0
2241324549,1.3,6,3
2241324552,7.9,1,6
2241324557,7.3,6,9
2241324561,1.9,3,5
2241324563,2.4,2,2
2241324568,6.9,9,-2
2241324569,8.8,7,8
2241324571,3.6,1,0
2241324575,10.2,1,9
2241324577,8.0,6,3
2241324578,1.6,3,3
2241324581,4.6,4,3
2241324584,2.3,7,2
2241324587,3.6,8,5
2241324591,0.2,3,3
2241324593,1.3,5,2
2241324598,11.3,3,2
2241324600,2.4,5,3
2241324604,10.5,5,1
2241324605,6.3,8,9
2241324610,4.5,6,2
2241324615,1.4,3,6
2241324617,8.3,2,0
2241324622,10.4,3,-3
2241324625,0.9,2,1
2241324628,5.8,9,1
2241324634,1.2,6,8
2241324636,1.6,4,7
2241324637,0.2,5,0
2241324638,10.1,3,8
2241324639,10.6,9,2
2241324641,11.0,4,2
2241324644,5.1,9,8
2241324646,7.2,5,0
2241324652,2.8,2,8
2241324654,6.0,6,3
2241324657,6.3,4,7
2241324660,2.8,3,5
2241324664,3.4,9,6
2241324667,4.1,9,7
2241324673,4.5,5,1
2241324676,0.6,2,0
2241324678,11.1,3,7
2241324680,6.7,4,5
2241324682,5.2,5,6
2241324685,11.6,1,-2
2241324689,2.6,4,9
2241324692,0.8,3,5
2241324697,2.2,3,2
2241324698,8.9,1,1
2241324702,0.9,3,6
2241324703,9.7,2,-1
2241324707,9.0,5,2
2241324712,8.5,2,9
2241324718,8.2,5,-4
2241324720,2.0,6,4
2241324724,2.2,3,1
2241324727,7.1,3,2
2241324728,0.3,4,3
2241324733,4.4,1,0
2241324738,11.8,4,5
2241324743,2.7,4,2
2241324748,2.0,9,4
2241324752,1.1,4,4
2241324757,2.1,6,2
2241324762,11.0,9,-3
2241324764,11.4,6,5
2241324768,3.4,8,2
2241324770,5.8,1,1
2241324772,11.7,2,7
2241324777,5.0,2,-3
2241324781,0.2,4,8
2241324782,10.5,7,7
2241324786,0.3,3,7
2241324791,8.6,6,2
2241324792,2.9,8,2
2241324795,11.9,1,-3
2241324801,1.2,3,6
2241324804,3.8,5,-3
2241324805,10.9,7,2
2241324809,2.3,6,7
2241324815,11.8,4,2
2241324820,0.6,5,0
2241324825,1.6,4,0
2241324830,2.9,5,9
2241324833,4.9,3,4
2241324835,0.9,7,6
2241324839,6.6,5,3
2241324843,1.4,5,1
2241324849,1.8,2,2
2241324855,1.1,6,2
2241324861,6.0,8,-3
2241324867,7.9,2,0
2241324868,10.9,5,1
2241324872,8.4,9,9
2241324877,8.4,1,8
2241324880,4.8,2,4
2241324881,5.3,5,7
2241324887,11.7,9,8
2241324890,1.8,6,7
2241324892,4.3,2,6
2241324898,2.6,3,-5
2241324903,4.7,1,1
2241324908,4.0,2,-3
2241324909,10.3,7,5
2241324910,7.2,4,7
2241324916,4.4,2,0
2241324920,9.4,1,7
2241324921,2.0,4,5
2241324926,2.7,6,0
2241324929,3.3,1,7
2241324932,11.0,7,4
2241324933,0.3,6,2
2241324938,2.2,3,3
2241324941,6.5,8,1
2241324943,5.6,4,2
2241324947,9.7,9,4
2241324950,1.9,4,4
2241324953,2.7,5,8
2241324956,4.6,3,6
2241324959,9.8,5,6
2241324963,7.8,6,7
2241324965,2.9,3,5
2241324969,1.8,5,1
2241324974,4.6,9,2
2241324980,5.4,1,2
2241324983,9.4,6,2
2241324989,8.0,1,1
2241324991,0.9,5,5
2241324995,6.2,5,8
2241324998,1.3,4,3
2241325001,7.3,6,9
2241325003,2.8,8,7
2241325006,11.9,6,9
2241325008,8.1,5,5
2241325012,5.8,1,9
2241325018,9.2,6,5
2241325023,2.3,1,4
2241325025,2.1,9,2
2241325026,1.9,4,7
2241325028,3.7,1,9
2241325029,3.0,3,0
2241325030,9.0,3,8
2241325036,3.9,2,-2
2241325039,11.1,5,9
2241325042,0.7,3,6
2241325045,6.4,9,2
2241325049,2.8,4,9
2241325052,0.3,5,9
2241325058,0.2,6,4
2241325062,1.1,6,5
2241325063,0.6,9,6
2241325066,5.8,7,3
2241325071,2.1,5,3
2241325076,10.2,6,-1
2241325081,0.5,2,3
2241325086,8.2,9,-4
2241325088,1.5,5,6
2241325093,11.3,7,2
2241325096,8.5,6,3
2241325101,3.3,5,0
2241325106,0.9,6,3
2241325109,7.5,1,2
2241325115,9.4,8,8
2241325121,1.3,6,6
2241325122,0.5,8,6
2241325128,10.2,9,5
2241325132,0.9,3,7
2241325134,8.4,9,0
2241325138,1.1,7,8
2241325140,1.0,4,3
2241325141,2.6,4,8
2241325142,7.4,1,2
2241325144,0.7,1,1
2241325147,0.2,4,8
2241325148,1.5,7,6
2241325152,5.7,7,2
2241325153,1.5,7,0
2241325154,0.2,4,5
2241325160,0.7,5,4
2241325166,2.1,7,1
2241325172,4.9,7,1
2241325173,7.1,1,7
2241325177,6.8,4,5
2241325183,7.2,7,7
2241325186,4.9,1,3
2241325190,1.0,3,6
2241325194,10.6,5,9
2241325195,10.0,4,6
2241325199,4.4,1,-3
2241325204,0.3,4,1
2241325206,3.9,1,5
2241325207,2.9,9,-2
2241325210,2.3,3,1
2241325215,10.9,6,5
2241325217,0.2,3,1
2241325218,6.4,8,1
2241325224,6.1,8,-5
2241325229,1.2,6,2
2241325231,1.7,2,4
2241325232,0.4,8,4
2241325238,8.6,9,0
2241325241,7.6,6,5
2241325243,2.7,7,8
2241325249,4.1,2,7
2241325253,7.9,7,1
2241325259,9.5,9,4
2241325260,6.5,6,3
2241325264,2.7,1,6
2241325268,2.6,3,4
2241325274,11.8,1,2
2241325276,8.6,9,-5
2241325279,8.2,9,-3
2241325280,4.9,1,1
2241325284,1.1,5,7
2241325286,8.6,6,5
2241325291,12.0,5,3
2241325297,1.2,6,3
2241325300,2.2,2,3
2241325302,11.4,7,6
2241325308,9.6,6,6
2241325310,10.3,7,2
2241325311,0.3,4,3
2241325312,10.9,3,8
2241325315,2.0,3,2
2241325317,3.8,2,0
2241325319,9.5,5,-5
2241325323,0.5,5,6
2241325324,2.5,3,1
2241325328,4.5,6,3
2241325329,2.9,6,7
2241325335,5.0,9,3
2241325341,5.7,3,-3
2241325346,0.7,9,8
2241325347,11.8,4,2
2241325353,0.4,6,1
2241325357,1.3,6,4
2241325362,3.7,2,-1
2241325366,2.8,5,6
2241325368,6.7,8,4
2241325369,2.2,5,9
2241325372,0.9,1,6
2241325378,10.0,6,1
2241325382,2.5,4,9
2241325384,9.8,3,-5
2241325388,1.2,6,8
2241325394,7.9,3,3
2241325397,6.3,7,2
2241325402,0.3,5,1
2241325404,6.4,9,3
2241325406,2.0,9,2
2241325411,5.4,3,6
2241325413,7.3,1,2
2241325418,10.3,6,3
2241325424,10.9,5,9
2241325428,3.6,9,0
2241325431,1.9,4,7
2241325437,11.8,5,1
2241325438,2.3,4,8
2241325443,8.4,7,1
2241325448,7.6,8,8
2241325453,3.0,5,-2
2241325458,3.1,4,-4
2241325461,4.6,5,8
2241325464,10.1,9,7
2241325468,7.0,1,8
2241325470,9.6,8,8
2241325474,11.8,9,6
2241325478,6.6,7,4
2241325482,1.8,5,2
2241325485,5.7,5,-4
2241325489,2.9,3,7
2241325490,11.3,1,6
2241325494,2.1,8,7
2241325499,4.9,1,1
2241325504,6.1,7,-4
2241325509,1.2,3,7
2241325512,3.1,6,-4
2241325513,5.8,6,0
2241325515,5.4,4,4
2241325518,1.2,6,2
2241325521,0.8,6,2
2241325523,2.8,5,7
2241325525,2.6,6,4
2241325531,6.4,8,6
2241325535,1.7,9,6
2241325538,7.3,2,3
2241325543,4.1,8,9
2241325545,5.1,1,4
2241325546,5.4,9,5
2241325551,9.3,6,6
2241325555,7.5,9,3
2241325561,1.3,5,-1
2241325564,1.5,6,1
2241325566,3.9,9,2
2241325571,0.4,7,-2
2241325575,0.8,3,7
2241325578,4.1,2,5
2241325580,2.4,3,9
2241325583,4.3,8,8
2241325587,1.2,5,1
2241325589,1.8,2,7
2241325590,2.5,5,3
2241325593,3.2,3,0
2241325596,10.4,6,1
2241325601,4.8,6,6
2241325603,0.7,5,0
2241325608,4.3,3,1
2241325613,8.2,9,5
2241325615,5.8,6,-5
2241325621,5.8,8,6
2241325627,10.8,8,2
2241325632,0.9,6,4
2241325636,4.0,8,2
2241325642,11.0,5,-5
2241325645,8.8,3,4
2241325647,0.4,7,-2
2241325648,1.4,8,1
2241325651,2.8,2,2
2241325656,0.1,3,4
2241325657,7.2,1,2
2241325660,4.0,4,0
2241325664,3.6,4,9
2241325666,8.6,8,3
2241325668,2.2,5,4
2241325673,1.7,3,3
2241325674,0.4,4,5
2241325680,2.0,5,4
2241325686,11.4,5,-3
2241325692,9.4,1,0
2241325694,8.6,5,6
2241325699,0.8,3,1
2241325702,5.9,4,6
2241325703,2.9,6,7
2241325709,7.2,4,2
2241325711,0.5,3,0
2241325714,3.0,4,2
2241325719,2.6,4,6
2241325725,6.1,1,5
2241325731,7.5,8,8
2241325735,4.3,7,-2
2241325741,2.7,3,5
2241325745,1.5,4,8
2241325748,1.2,5,7
2241325754,12.0,3,-2
2241325755,0.2,4,2
2241325756,4.3,8,1
2241325761,1.9,3,-4
2241325763,11.4,6,5
2241325769,9.2,3,3
2241325772,7.0,9,1
2241325774,6.3,8,6
2241325779,0.2,4,9
2241325781,6.0,2,2
2241325785,0.4,8,1
2241325790,4.6,7,9
2241325795,1.4,1,0
2241325796,1.9,2,1
2241325800,2.5,5,1
2241325806,8.0,8,3
2241325808,8.9,9,4
2241325809,3.9,7,-3
2241325815,0.5,9,4
2241325819,7.1,5,3
2241325821,11.1,9,5
2241325826,9.7,7,-3
2241325830,4.9,6,7
2241325836,7.8,1,8
2241325842,10.9,8,4
2241325845,6.6,3,3
2241325848,5.1,9,3
2241325849,1.3,3,4
2241325855,0.6,2,3
2241325857,3.7,5,8
2241325863,7.1,6,9
2241325867,6.0,5,6
2241325868,2.8,2,7
2241325869,9.8,7,2
2241325873,5.3,2,3
2241325874,2.0,3,3
2241325876,11.0,5,4
2241325877,4.3,2,-3
2241325882,3.7,7,0
2241325885,9.8,8,2
2241325887,2.5,3,1
2241325891,1.2,5,1
2241325892,3.4,8,6
2241325898,12.0,6,5
2241325901,7.3,1,-3
2241325905,9.5,2,6
2241325906,2.0,5,3
2241325912,1.0,5,6
2241325915,2.1,3,5
2241325916,1.0,6,4
2241325922,5.0,4,3
2241325926,5.6,6,-5
2241325930,2.3,4,5
2241325932,8.5,7,-2
2241325938,0.5,4,2
2241325942,10.3,1,5
2241325945,2.9,2,4
2241325947,5.8,6,6
2241325953,1.5,1,2
2241325954,0.5,6,8
2241325956,3.5,4,0
2241325958,11.4,4,9
2241325960,1.7,5,6
2241325963,6.2,3,0
2241325966,7.5,6,6
2241325972,2.9,8,1
2241325978,9.7,7,9
2241325982,3.6,9,1
2241325988,11.8,5,4
2241325990,0.8,4,7
2241325994,4.3,6,0
2241325996,0.4,2,7
2241326001,1.1,8,3
2241326003,10.9,4,5
2241326009,1.4,5,5
2241326012,11.5,8,-1
2241326018,1.4,8,7
2241326022,2.2,5,0
2241326026,10.1,9,1
2241326028,0.4,8,5
2241326029,9.2,2,6
2241326034,1.9,3,-5
2241326035,7.7,2,8
2241326036,2.0,5,7
2241326037,1.2,8,9
2241326038,5.7,2,0
2241326041,0.8,6,5
2241326045,2.8,6,1
2241326047,11.2,5,4
2241326049,9.8,1,1
2241326052,10.8,7,0
2241326057,4.2,1,8
2241326062,7.2,1,2
2241326065,1.4,3,7
2241326067,2.7,5,1
2241326068,2.0,7,4
2241326072,5.4,4,6
2241326073,6.0,7,-2
2241326077,1.0,4,6
2241326079,0.7,9,7
2241326081,8.0,8,2
2241326083,7.2,6,1
2241326088,10.2,2,7
2241326094,7.9,5,-3
2241326096,10.0,8,0
2241326097,10.1,8,2
2241326101,2.7,3,1
2241326104,9.6,4,5
2241326110,11.8,4,8
2241326112,8.9,1,2
2241326115,0.5,4,1
2241326117,2.1,5,4
2241326121,2.5,9,4
2241326124,0.7,4,3
2241326125,0.9,6,2
2241326126,7.8,1,8
2241326128,7.0,2,9
2241326130,2.4,6,6
2241326133,0.6,6,7
2241326134,9.0,8,3
2241326138,2.0,6,9
2241326139,3.4,4,7
2241326143,5.5,7,3
2241326145,7.1,7,8
2241326151,10.2,3,0
2241326153,0.8,6,5
2241326157,5.6,2,2
2241326162,0.4,5,4
2241326165,2.1,1,8
2241326169,1.6,4,5
2241326171,1.5,3,9
2241326172,9.3,9,6
2241326178,2.7,4,8
2241326180,3.7,3,6
2241326185,0.2,3,5
2241326186,2.7,1,-1
2241326192,11.0,5,1
2241326198,1.1,9,2
2241326200,1.6,3,6
2241326203,4.4,9,0
2241326204,1.9,4,7
2241326207,7.4,5,9
2241326212,2.8,9,5
2241326214,1.7,3,5
2241326216,12.0,2,1
2241326218,7.9,5,2
2241326221,0.7,8,0
2241326223,9.1,2,3
2241326227,6.1,7,3
2241326233,2.9,2,-3
2241326235,10.8,1,4
2241326238,1.6,2,-3
2241326244,3.7,2,5
2241326246,6.1,8,0
2241326248,1.8,2,9
2241326253,10.1,8,0
2241326256,7.8,1,7
2241326258,0.1,9,-3
2241326260,5.9,7,7
2241326261,3.8,5,7
2241326266,6.5,2,3
2241326269,7.3,7,5
2241326273,1.3,5,6
2241326275,11.1,1,-2
2241326276,2.4,6,4
2241326282,5.0,2,5
2241326285,2.8,7,6
2241326288,9.8,5,-4
2241326292,1.7,6,6
2241326293,2.9,3,-1
2241326296,8.3,8,3
2241326299,2.3,3,2
2241326303,7.7,1,4
2241326304,0.6,7,8
2241326309,1.6,6,3
2241326312,3.6,5,3
2241326315,3.5,1,5
2241326316,5.9,3,6
2241326317,11.6,3,3
2241326321,2.2,9,1
2241326323,5.0,9,1
2241326326,1.0,5,3
2241326327,7.0,3,9
2241326328,6.9,7,6
2241326330,1.6,6,0
2241326335,3.9,8,2
2241326341,2.5,5,5
2241326346,8.9,9,5
2241326349,6.5,7,3
2241326353,1.0,3,4
2241326357,4.4,1,-5
2241326360,0.9,6,8
2241326362,0.5,2,2
2241326365,9.9,8,-3
2241326370,6.6,3,0
2241326375,5.0,3,9
2241326379,8.4,3,-2
2241326383,6.6,2,6
2241326385,0.3,4,1
2241326390,7.0,7,1
2241326392,7.6,2,-2
2241326394,5.6,8,4
2241326398,2.1,2,6
2241326400,0.9,5,0
2241326403,1.1,4,5
2241326406,10.5,7,3
2241326411,8.1,3,6
2241326416,4.9,3,0
2241326418,0.5,2,6
2241326423,0.9,4,5
2241326428,0.5,6,6
2241326431,4.3,5,0
2241326433,8.9,5,3
2241326435,5.4,4,2
2241326441,0.8,4,8
2241326447,0.6,8,-5
2241326450,2.0,4,1
2241326451,2.5,2,9
2241326457,1.6,7,9
2241326460,3.4,3,4
2241326465,6.3,9,4
2241326468,3.7,6,7
2241326473,1.2,9,7
2241326476,4.5,2,7
2241326480,3.4,1,9
2241326482,8.0,7,2
2241326488,8.5,4,6
2241326489,1.4,5,6
2241326490,6.0,9,-3
2241326492,6.9,9,9
2241326495,2.9,8,9
2241326498,0.1,5,4
2241326500,0.2,3,8
2241326502,8.8,1,7
2241326508,10.7,3,8
2241326514,7.4,2,0
2241326518,6.2,2,4
2241326524,9.7,2,0
2241326527,1.5,3,3
2241326532,3.6,6,2
2241326535,7.1,6,1
2241326539,5.1,4,8
2241326544,1.3,4,1
2241326545,10.3,6,-4
2241326550,6.7,3,3
2241326555,11.5,9,8
2241326558,11.3,9,4
2241326563,2.4,9,3
2241326568,1.6,4,4
2241326569,9.3,1,6
2241326572,8.8,5,2
2241326577,2.6,5,4
2241326581,8.5,8,5
2241326587,6.1,6,-2
2241326593,3.1,6,3
2241326599,5.5,4,-3
2241326602,4.8,3,-3
2241326606,2.4,3,8
2241326608,1.4,3,9
2241326609,2.0,3,9
2241326610,5.1,5,0
2241326612,0.6,7,1
2241326616,4.6,1,1
2241326619,0.9,4,0
2241326621,6.4,4,8
2241326624,0.1,2,-1
2241326625,2.0,4,5
2241326631,11.7,3,3
2241326635,0.4,6,0
2241326636,0.3,5,8
2241326639,4.6,7,6
2241326641,5.7,5,6
2241326646,9.5,6,2
2241326647,0.9,6,3
2241326649,0.7,5,5
2241326650,2.2,4,2
2241326654,5.5,6,2
2241326660,4.0,1,0
2241326664,10.7,3,8
2241326669,7.9,7,8
2241326670,3.4,5,5
2241326674,0.8,2,0
2241326680,7.1,7,0
2241326685,2.3,4,6
2241326687,10.8,8,6
2241326692,2.5,5,2
2241326698,0.7,5,5
2241326699,2.9,4,4
2241326703,7.4,6,0
2241326705,8.2,2,4
2241326711,11.0,1,2
2241326713,1.6,6,8
2241326715,8.5,1,5
2241326719,0.2,6,4
2241326721,7.5,1,4
2241326726,2.2,2,4
2241326731,1.1,5,0
2241326736,4.7,2,1
2241326741,2.1,5,0
2241326743,2.1,6,9
2241326744,6.6,2,3
2241326748,7.5,3,-4
2241326754,11.7,8,4
2241326757,6.6,6,8
2241326760,8.1,8,9
2241326764,11.3,6,8
2241326770,3.2,7,7
2241326771,2.3,4,1
2241326776,3.5,7,2
2241326780,8.9,4,6
2241326786,7.3,7,-3
2241326789,11.2,7,3
2241326791,10.5,7,5
2241326792,2.6,5,7
2241326795,10.2,2,0
2241326796,1.9,5,2
2241326801,1.1,4,7
2241326805,2.0,5,2
2241326806,7.6,1,1
2241326808,2.7,6,9
2241326810,11.6,2,7
2241326813,1.3,6,4
2241326817,4.7,1,7
2241326819,11.6,4,5
2241326823,5.4,2,1
2241326829,4.1,6,-3
2241326835,4.0,3,7
2241326836,2.5,8,1
2241326841,8.1,6,4
2241326845,0.7,3,2
2241326848,7.7,4,0
2241326852,11.0,3,3
2241326853,3.2,6,6
2241326855,8.2,2,8
2241326856,1.8,1,0
2241326861,2.4,4,5
